Date,Open_NVDA,High_NVDA,Low_NVDA,Close_NVDA,Volume_NVDA,Open_NDX,High_NDX,Low_NDX,Close_NDX,Volume_NDX,Open_SPX,High_SPX,Low_SPX,Close_SPX,Volume_SPX,Open_VIX,High_VIX,Low_VIX,Close_VIX,SMA_20_NVDA,SMA_50_NVDA,RSI_NVDA
1999-04-05,0.0387442,0.0396677,0.0378386,0.0380583,27293895,2146.13,2219.97,2146.13,2219.64,168606897.0,1293.72,1321.12,1293.72,1321.12,386555556.0,22.19,22.19,22.19,22.19,0.03938974,0.03906951,46.85906167673672
1999-04-06,0.0382868,0.0385123,0.0362297,0.036919,19377868,2219.64,2244.25,2200.56,2218.83,192067241.0,1321.12,1326.76,1311.07,1317.89,437500000.0,22.65,22.65,22.65,22.65,0.03919513,0.039055854,44.145200661502535
1999-04-07,0.037377,0.0403518,0.036919,0.0401271,24781851,2218.83,2251.29,2158.63,2192.29,219439655.0,1317.89,1329.58,1312.59,1326.89,453555556.0,22.81,22.81,22.81,22.81,0.039092484999999996,0.039028414,52.48930753572347
1999-04-08,0.0403518,0.0419634,0.0398945,0.0408112,35550119,2192.29,2224.81,2156.65,2224.75,197565517.0,1326.89,1344.08,1321.6,1343.98,472500000.0,22.59,22.59,22.59,22.59,0.03905809,0.039078902,54.065168389673325
1999-04-09,0.0410388,0.0410388,0.0398945,0.0401271,13345989,2224.75,2238.59,2208.39,2232.47,188168966.0,1343.98,1351.22,1335.24,1348.35,397833333.0,21.77,21.77,21.77,21.77,0.03908106,0.039115708,52.200565312120965
1999-04-12,0.0396677,0.0396677,0.0378386,0.0385123,9773975,2232.47,2232.47,2167.71,2219.21,197125862.0,1348.35,1358.69,1333.48,1358.63,450444444.0,21.93,21.93,21.93,21.93,0.039058075,0.039124788,47.99300264993761
1999-04-13,0.0392015,0.0392015,0.0362297,0.036919,10244957,2219.21,2240.3,2173.23,2175.18,231327586.0,1358.64,1362.38,1344.03,1349.82,450500000.0,22.73,22.73,22.73,22.73,0.038874705,0.039138574,44.20676700607244
1999-04-14,0.0366834,0.0376018,0.0357676,0.0357676,13202114,2175.18,2214.68,2103.63,2103.63,244170690.0,1349.82,1357.24,1326.41,1328.44,528888889.0,24.94,24.94,24.94,24.94,0.03870301,0.039115546,41.64962877803041
1999-04-15,0.0366834,0.0366834,0.0357676,0.0366834,10114242,2103.63,2136.27,2053.72,2135.81,212751724.0,1328.44,1332.41,1308.38,1322.85,605444444.0,23.93,23.93,23.93,23.93,0.038565524999999996,0.039166072,44.40427569589285
1999-04-16,0.0364567,0.0385123,0.0364567,0.0380583,10689940,2135.81,2144.61,2082.0,2086.46,177081034.0,1322.86,1325.03,1311.4,1319.0,556833333.0,23.9,23.9,23.9,23.9,0.03846208499999999,0.03923012,48.346802747049615
1999-04-19,0.0385123,0.0385123,0.0357676,0.0362297,8910459,2086.46,2104.55,1962.56,1967.58,207067241.0,1319.0,1340.1,1284.48,1289.48,674666667.0,26.42,26.42,26.42,26.42,0.038267215,0.039221046,43.8889961400114
1999-04-20,0.0362297,0.0378386,0.0353183,0.0355331,18527400,1967.57,2030.34,1952.36,2030.28,197196552.0,1289.48,1306.3,1284.21,1306.17,547444444.0,25.02,25.02,25.02,25.02,0.03809527,0.039174936,42.28931454283144
1999-04-21,0.0355331,0.0362297,0.0353183,0.0362297,10820815,2031.6,2106.23,2022.0,2105.82,194013793.0,1306.17,1336.12,1301.84,1336.12,511111111.0,23.31,23.31,23.31,23.31,0.03808392,0.039170395999999996,44.46902053589915
1999-04-22,0.0362297,0.0362297,0.0343868,0.0346193,62176800,2105.82,2185.23,2105.82,2183.49,191458621.0,1336.12,1358.84,1336.12,1358.82,515500000.0,22.62,22.62,22.62,22.62,0.0380034,0.039161108,40.64690232662269
1999-04-23,0.0343868,0.0346193,0.032785,0.0330168,34555657,2183.49,2224.4,2151.06,2210.44,180977586.0,1358.83,1363.65,1348.45,1356.85,413833333.0,22.76,22.76,22.76,22.76,0.03782007,0.039124326,37.21877036464534
1999-04-26,0.0330168,0.0334779,0.0304884,0.0311834,34202370,2210.45,2276.68,2210.45,2260.66,181115517.0,1356.85,1363.56,1353.72,1360.04,395555556.0,23.53,23.53,23.53,23.53,0.037372885,0.038991222,33.71528151357302
1999-04-27,0.0320983,0.0348559,0.0314141,0.0346193,62072134,2263.01,2283.55,2204.44,2207.03,195174138.0,1360.04,1371.56,1356.55,1362.8,495388889.0,23.36,23.36,23.36,23.36,0.037040325,0.038885718,44.297595300383385
1999-04-28,0.0348559,0.0348559,0.0332515,0.0343868,32750106,2207.03,2217.17,2147.54,2150.44,172555172.0,1362.8,1368.62,1348.29,1350.91,528722222.0,24.4,24.4,24.4,24.4,0.036867735,0.038770912,43.7881576750376
1999-04-29,0.0343868,0.0346193,0.0337177,0.0343868,13149726,2150.44,2152.72,2094.57,2119.29,173387931.0,1350.91,1356.75,1336.81,1342.83,557555556.0,25.06,25.06,25.06,25.06,0.036569485,0.038697482,43.7881576750376
1999-04-30,0.0348559,0.0362297,0.0343868,0.0348559,27581884,2119.47,2172.14,2081.67,2136.39,171458621.0,1342.83,1351.83,1314.58,1335.18,520277778.0,25.07,25.07,25.07,25.07,0.036352205,0.038624354,45.26120910120592
1999-05-03,0.0353183,0.0353183,0.0341571,0.0350837,9263665,2136.39,2145.45,2097.39,2137.95,149312069.0,1335.18,1354.63,1329.01,1354.63,450777778.0,24.15,24.15,24.15,24.15,0.036203475,0.038528138,46.00123494595787
1999-05-04,0.0350837,0.0350837,0.0325554,0.0332515,26194777,2137.95,2170.52,2096.08,2097.55,158918966.0,1354.63,1354.64,1330.64,1332.0,518388889.0,25.62,25.62,25.62,25.62,0.036020100000000006,0.038390626000000004,41.17916937404635
1999-05-05,0.0334779,0.0339333,0.0314141,0.0339333,39501598,2097.55,2155.8,2047.77,2155.77,179091379.0,1332.0,1347.32,1317.44,1347.31,507500000.0,25.19,25.19,25.19,25.19,0.03571041,0.038230024,43.55050215663548
1999-05-06,0.0337177,0.0343868,0.0323268,0.0332515,10022556,2155.77,2163.79,2075.96,2078.63,156834483.0,1347.31,1348.36,1322.56,1332.05,486333333.0,27.44,27.44,27.44,27.44,0.035332425,0.037987006000000004,41.738403378298884
1999-05-07,0.0323268,0.0337177,0.0323268,0.0334779,6974053,2079.42,2119.86,2064.56,2117.73,149491379.0,1332.05,1345.99,1332.05,1345.0,452722222.0,25.36,25.36,25.36,25.36,0.034999965,0.0377762,42.592605500284286
1999-05-10,0.0332515,0.0341571,0.0332515,0.0334779,5443071,2117.73,2151.87,2109.9,2134.75,143298276.0,1345.0,1352.01,1334.0,1340.3,429611111.0,26.62,26.62,26.62,26.62,0.034748245,0.037606490000000006,42.592605500284286
1999-05-11,0.0348559,0.0362297,0.0341571,0.0353183,47391496,2134.75,2182.46,2134.75,2175.85,164601724.0,1340.3,1360.0,1340.3,1355.61,464500000.0,25.62,25.62,25.62,25.62,0.03466821,0.037469256,49.564062185104824
1999-05-12,0.0355331,0.0364567,0.0350837,0.0362297,46004509,2175.85,2223.53,2152.77,2217.68,178017241.0,1355.61,1367.36,1333.1,1364.0,458611111.0,26.13,26.13,26.13,26.13,0.034691315,0.037359236,52.631838624000444
1999-05-13,0.0362297,0.037377,0.0362297,0.0362297,19482574,2217.68,2239.86,2178.37,2179.08,184406897.0,1364.0,1375.98,1364.0,1367.56,442722222.0,25.02,25.02,25.02,25.02,0.03466863,0.03730439,52.631838624000444
1999-05-14,0.0362297,0.0362297,0.0339333,0.0343868,8439427,2179.08,2179.08,2120.72,2125.15,161439655.0,1367.56,1367.56,1332.63,1337.8,404333333.0,26.86,26.86,26.86,26.86,0.034485055,0.03723096,46.061552385781674
1999-05-17,0.0339333,0.0359942,0.0337177,0.0359942,10074944,2125.15,2175.74,2099.73,2175.74,135806897.0,1337.8,1339.95,1321.19,1339.49,369722222.0,27.28,27.28,27.28,27.28,0.03447328,0.037148301999999994,51.7224797269148
1999-05-18,0.0364567,0.0382868,0.0353183,0.0378386,41725822,2175.74,2180.67,2146.81,2159.26,148637931.0,1339.49,1345.44,1323.46,1333.32,418555556.0,27.26,27.26,27.26,27.26,0.034588555,0.03708885,57.264789750937
1999-05-19,0.0394331,0.0408112,0.0355331,0.0359942,123215304,2159.36,2186.51,2119.55,2186.2,166267241.0,1333.32,1344.23,1327.05,1344.23,445055556.0,25.08,25.08,25.08,25.08,0.03457678,0.036965134000000004,50.964012097680104
1999-05-20,0.0362297,0.0362297,0.0318705,0.0332515,48660677,2186.31,2193.45,2139.95,2139.95,173236207.0,1344.23,1350.49,1338.83,1338.83,417888889.0,24.46,24.46,24.46,24.46,0.03450839,0.036800182,43.329249657411445
1999-05-21,0.032785,0.032785,0.0314141,0.0325554,82902487,2139.95,2152.56,2105.01,2114.4,153332759.0,1338.83,1340.88,1326.19,1330.29,381444444.0,24.4,24.4,24.4,24.4,0.03448532,0.036657935999999995,41.62488328246189
1999-05-24,0.032785,0.0334779,0.0318705,0.0323268,44983998,2114.4,2123.47,2050.83,2060.59,158600000.0,1330.29,1333.02,1303.53,1306.65,419277778.0,27.62,27.62,27.62,27.62,0.03454249,0.036525032,41.05376760181942
1999-05-25,0.0325554,0.0330168,0.0323268,0.0325554,35537130,2060.59,2086.48,1997.82,1999.04,180777586.0,1306.65,1317.52,1284.38,1284.4,459277778.0,28.9,28.9,28.9,28.9,0.034439295,0.036364412,41.91207255794717
1999-05-26,0.0325554,0.0341571,0.0325554,0.0325554,29151964,1999.04,2053.04,1960.55,2053.04,189555172.0,1284.4,1304.85,1278.43,1304.76,483777778.0,27.57,27.57,27.57,27.57,0.034347724999999996,0.036231490000000005,41.91207255794717
1999-05-27,0.032785,0.032785,0.0323268,0.0323268,22544407,2053.04,2069.11,2021.18,2050.09,143860345.0,1304.76,1304.76,1277.31,1281.41,450777778.0,28.12,28.12,28.12,28.12,0.034244725000000004,0.036089364,41.21605317097887
1999-05-28,0.032785,0.032785,0.0323268,0.0325554,24506962,2050.09,2090.16,2038.74,2089.55,117512069.0,1281.41,1304.0,1281.41,1301.84,361088889.0,25.39,25.39,25.39,25.39,0.0341297,0.03593793,42.248879493288875
1999-06-01,0.0325554,0.032785,0.0320983,0.032785,27254737,2089.7,2089.7,2025.66,2025.79,128220690.0,1301.84,1301.84,1281.44,1294.26,379888889.0,26.62,26.62,26.62,26.62,0.034014765,0.035791088,43.32592325806926
1999-06-02,0.032785,0.032785,0.0314141,0.0314141,35550119,2025.79,2076.65,1987.4,2074.54,154410345.0,1294.26,1297.1,1277.47,1294.81,404444444.0,26.21,26.21,26.21,26.21,0.033922894999999995,0.03563993,38.686624411170094
1999-06-03,0.0323268,0.0325554,0.0320983,0.0323268,11815237,2074.54,2083.0,2029.22,2030.4,141260345.0,1294.81,1304.15,1294.2,1299.54,399777778.0,26.2,26.2,26.2,26.2,0.03384257,0.035557332000000004,43.058243748931446
1999-06-04,0.0325554,0.032785,0.0323268,0.0325554,21837764,2031.97,2109.47,2031.97,2109.41,152705172.0,1299.54,1327.75,1299.54,1327.75,385833333.0,23.43,23.43,23.43,23.43,0.033807765000000004,0.035483846,44.132673097078495
1999-06-07,0.032785,0.0334779,0.032785,0.0330168,34163242,2109.41,2155.39,2109.41,2152.69,150822414.0,1327.75,1336.42,1325.89,1334.52,369055556.0,23.78,23.78,23.78,23.78,0.033784709999999996,0.035410514,46.333745545804746
1999-06-08,0.0330168,0.0343868,0.0330168,0.0337177,42484934,2152.69,2158.8,2083.81,2086.75,146158621.0,1334.52,1334.52,1312.83,1317.33,381055556.0,24.02,24.02,24.02,24.02,0.0337967,0.035282326,49.58323108178347
