Date,Open_NVDA,High_NVDA,Low_NVDA,Close_NVDA,Volume_NVDA,Open_NDX,High_NDX,Low_NDX,Close_NDX,Volume_NDX,Open_SPX,High_SPX,Low_SPX,Close_SPX,Volume_SPX,Open_VIX,High_VIX,Low_VIX,Close_VIX
1999-01-22,0.0401271,0.0447103,0.0355331,0.0376018,740416863,1961.76,1990.8,1926.7,1964.21,174955172.0,1235.16,1236.41,1217.97,1225.19,436611111.0,31.95,31.95,31.95,31.95
1999-01-25,0.0405864,0.0419634,0.0376018,0.0414991,139413824,1964.21,1998.17,1951.29,1997.16,150165517.0,1225.19,1233.98,1219.46,1233.98,402166667.0,31.13,31.13,31.13,31.13
1999-01-26,0.0419634,0.0428759,0.0378386,0.0382868,93919355,2004.14,2063.52,2004.14,2062.2,177613793.0,1233.98,1253.25,1233.98,1252.31,498000000.0,29.23,29.23,29.23,29.23
1999-01-27,0.0385123,0.0394331,0.0362297,0.0382868,67279765,2062.21,2091.51,2030.08,2030.36,178358621.0,1252.31,1262.61,1242.82,1243.17,496555556.0,29.73,29.73,29.73,29.73
1999-01-28,0.0382868,0.0385123,0.0378386,0.0380583,62320835,2030.36,2105.66,2030.36,2104.59,174808621.0,1243.17,1266.4,1243.17,1265.37,471555556.0,28.11,28.11,28.11,28.11
1999-01-29,0.0380583,0.0382868,0.0362297,0.0362297,67135680,2104.59,2128.19,2074.01,2127.19,182262069.0,1265.37,1280.37,1255.18,1279.64,509444444.0,26.25,26.25,26.25,26.25
1999-02-01,0.0362297,0.037377,0.0362297,0.036919,42340959,2127.19,2150.83,2114.53,2130.93,165018966.0,1279.64,1283.75,1271.31,1273.0,444111111.0,27.67,27.67,27.67,27.67
1999-02-02,0.0362297,0.037377,0.0330168,0.0341571,72003214,2130.93,2133.4,2065.74,2078.69,166156897.0,1273.0,1273.49,1247.56,1261.99,469722222.0,28.16,28.16,28.16,28.16
1999-02-03,0.0337177,0.0353183,0.0334779,0.0348559,20961127,2078.77,2120.1,2064.34,2119.94,182243103.0,1261.99,1276.04,1255.27,1272.07,486944444.0,27.88,27.88,27.88,27.88
1999-02-04,0.0353183,0.0378386,0.0348559,0.0366834,50256916,2119.95,2121.62,2027.56,2027.66,189515517.0,1272.07,1272.23,1248.36,1248.49,474666667.0,29.48,29.48,29.48,29.48
1999-02-05,0.037377,0.0382868,0.0364567,0.0378386,37682947,2027.66,2039.79,1963.8,1988.55,174782759.0,1248.49,1251.86,1232.28,1239.4,484444444.0,29.67,29.67,29.67,29.67
1999-02-08,0.0380583,0.0382868,0.0364567,0.0364567,42079279,1988.55,2034.21,1986.25,2034.21,152031034.0,1239.4,1246.93,1231.98,1243.77,391888889.0,30.27,30.27,30.27,30.27
1999-02-09,0.037377,0.0376018,0.0346193,0.0350837,23800379,2034.21,2036.21,1935.24,1935.33,156858621.0,1243.77,1243.97,1215.63,1216.14,408888889.0,31.36,31.36,31.36,31.36
1999-02-10,0.0350837,0.0359942,0.0341571,0.0348559,41045539,1935.33,1973.9,1924.53,1944.18,157865517.0,1216.14,1226.78,1211.89,1223.55,400777778.0,30.45,30.45,30.45,30.45
1999-02-11,0.0348559,0.0392015,0.0348559,0.0378386,36452934,1946.41,2045.08,1946.41,2044.68,165820690.0,1223.55,1254.05,1223.19,1254.04,453222222.0,27.42,27.42,27.42,27.42
1999-02-12,0.0382868,0.0401271,0.0382868,0.0398945,30538831,2044.68,2044.68,1957.93,1958.6,144406897.0,1254.04,1254.04,1225.53,1230.13,384166667.0,29.76,29.76,29.76,29.76
1999-02-16,0.0405864,0.04218,0.0359942,0.0401271,58225371,1958.6,2004.64,1940.74,1954.49,141248276.0,1230.13,1252.17,1230.13,1241.87,363200000.0,29.65,29.65,29.65,29.65
1999-02-17,0.0392015,0.0396677,0.037377,0.0380583,18540590,1954.48,1954.48,1885.77,1891.37,155651724.0,1241.87,1249.31,1220.92,1224.03,408388889.0,30.65,30.65,30.65,30.65
1999-02-18,0.0392015,0.0396677,0.0376018,0.0385123,19809611,1891.37,1915.25,1864.9,1906.09,148260345.0,1224.03,1239.13,1220.7,1237.28,412444444.0,30.45,30.45,30.45,30.45
1999-02-19,0.0382868,0.0405864,0.0378386,0.0398945,21052724,1906.09,1938.65,1906.09,1931.59,140255172.0,1237.28,1247.91,1232.03,1239.22,388888889.0,29.3,29.3,29.3,29.3
1999-02-22,0.0405864,0.0410388,0.0380583,0.0401271,56511247,1931.65,1996.38,1918.71,1996.02,145432759.0,1239.22,1272.22,1239.22,1272.14,399166667.0,25.87,25.87,25.87,25.87
1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287,1996.02,2035.37,1991.6,2028.23,157260345.0,1272.14,1280.38,1263.36,1271.18,433944444.0,26.49,26.49,26.49,26.49
1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929,2028.23,2055.82,1988.33,1989.14,160532759.0,1271.18,1283.84,1251.94,1253.41,434444444.0,27.21,27.21,27.21,27.21
1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352,1989.14,1989.14,1936.4,1974.39,148051724.0,1253.41,1253.41,1225.01,1245.02,411388889.0,28.01,28.01,28.01,28.01
